,Name,Time,Num_Reviews,Title,Content,Rating
16,Robert Hartley,2020-10-03,73,send numberous reports for fake goods…,"A facebook egy megbízhatatlan üzleti partner. Semmilyen üzleti tevékenység végzése nem ajánlott, mert kedvükre letilthatják az oldalad kezelését. Ha profilodat kitiltják például, egy napra, vagy egy hétre, akkor az általad kezelt oldalak is le bénulnak. Akkor is ez történik, ha a tiltás indokolatlan, mert nem tudsz hatékonyan fellebbezni a tiltás ellen. Facebook nélkül, több időd marad a valódi üzleti tevékenységre.________________________________________________Facebook is an unreliable business partner.Doing any business is not recommended as they may disable the management of your site.For example, if your profile is banned,for a day or a week then the pages you manage will also be paralyzed.This is the case even if the ban is unjustified,because you can't do it effectively appeal against the ban.Without Facebook, you have more time left for real business.",1
17,Centaurian Christ Jackson,2020-10-03,1,Paid for Facebook ads and spent…,none,1
18,Mr.Baki,2020-10-03,3,Facebook is an unreliable business partner.,none,3
0,Vivian,2020-10-03,2,Logged into my personal account last…,"Logged into my personal account last week (11 year old account, 1200+ followers), was told it was locked due to ""suspicious activity"" and I needed to verify my phone number. Every time I did that it said ""verification request failed"". Have tried nearly every support channel and sent about 20 support requests over the space of a week. Did not get any response. Account has been locked for almost a week... it’s a business account and they choose to treat me this way, switched up to Instagram and had to talk out few talks with Edwinconsult __ as well.. before 20mins I had my account recovered!   I’d suggest",3
0,Roman Zolanski,2020-10-02,1,Withholds your information,"I have had a account for over a year that i have not used. I decided to use it today and after a couple of hours facebook disabled it for NO reason. It asked me to give them my phone and my picture to verify, i stupidly gave that to them and then they still kept my account disabled and now hold my info.Isnt it illegal to hold someones info like this and even give them a false ''broke the community rules'' excuse when i havent even used my account.This is why this app is losing relevancy.",1
1,Jessica,2020-10-02,2,Have been patient enough regarding my…,Have been patient enough regarding my account!! Logged-out for no reason and Edwinconsult __ finally got me back.. thankful...,4
2,Turd Ferguson,2020-10-02,2,Facebook is a haven for scam sellers - beware!,Let me say that I do not use Facebook as a social media platform and could care less about it.  I do use my wife's account to pursue some Marketplace items that I would like to buy or sell.  Facebook Marketplace is absolutely polluted with scam artists sellers.  Obviously FB knows this happening and is only interested in revenue from the scammers for placing their ads.  It is this type of practice and the yearn for the almighty dollar that makes FB such an untrustworthy site.  If they are allowing such fraudulent sellers on their site - what else are they doing.  FB users beware.,1
3,Logan,2020-10-02,5,""" its lovely amazing app ""","New FB is much more restrictive and many nice features and capabilities have been removed.  Zuckerberg thinks we are all hooked, addicted to his social media so we'll swallow this downgrade.  I got news.  I'm leaving",5
4,nonrev,2020-10-02,2,New FB is much more restrictive and…,Just few talks on Instagram and I got my business account back!!! Edwinconsult ___ rocks,1
5,Justine,2020-10-02,2,Just few talks on Instagram and I got…,The entire framework of Facebook is to degrade its users socially. Similar to LinkedIn. The personal questions regarding  schooling is used to socially degrade others compared to others By others whom have a special interest in harming women  professionally. LinkedIn Is used by its employees and its politically slanted members to degrade  and speakHate speech to women when they speak intelligent academically sound and professionally sound insight to help others take caution in political slants. LinkedIn repeatedly sends the same repeated posts from Certain  members. LinkedIn collects fees from and or the repeated posts comes from LinkedIn employees. The posts sent to the women  are politically slanted and when the women finally responds with professionalism academic intelligent and sound speech the LinkedIn employees and its members LinkedIn collects fees from speak hate speech to the women. It is really an embarrassment to the country and to any women who is really ok with being a women.,4
